max_value,sentiment,daily_news_vector_sum,high,low,close,open,trades,shares,turnover,close_1,impact,isImpacted
-0.66,-1,0.93,80.2,80.2,86,86,1,8,641.6,0,2.1075,0
1,1,2.56,86,85.9,86,86,7,2728,234607.2,0,0.3793,0
-0.98,-1,0.57,86,84,85.9,86,6,1000,85370,-0.12,-0.0872,0
-0.64,-1,1.18,85.9,80,85.9,85.9,5,5200,417383,0,-0.0582,0
0.71,1,2.87,89,86,89,85.9,14,2503,220595,3.61,2.6528,0
0.69,1,3.54,90,81,89,89,2,566,50346,0,1.7724,0
0.87,1,4.13,90,87,88,89,14,5025,445358.4,-1.12,0.0284,0
0.86,1,3.64,88,87.9,88,88,4,1729,152150,0,-0.565,0
0.33,1,2.45,83.8,83.8,88,88,1,20,1676,0,-0.2833,0
-0.67,-1,1.8,88,83,88,88,3,658,57113.9,0,0,0
-1,-1,2.3,99,89.9,89.9,88,8,821,74354.9,2.16,1.6106,0
0.32,1,2,90,90,90,89.9,1,500,45000,0.11,1.152,0
0.5,1,1.55,90,90,90,90,5,2838,255420,0,0.5868,0
-0.89,-1,0.66,87,85,87,90,3,900,77500,-3.33,-2.4937,0
-0.89,-1,1.8,81.2,81.2,87,87,1,36,2923.2,0,-1.6949,0
0.81,1,3.33,87,85,85.2,87,7,1100,93696.4,-2.07,-2.4055,0
-0.96,-1,0.39,84,81.2,84,85.2,6,501,41521.3,-1.41,-2.0979,
0.89,1,3.95,85,85,84,84,1,10,850,0,-1.2346,1
0.69,1,3.19,84,82.6,84,84,3,56,4629.8,0,-0.3559,0
0.97,1,4.9,82.5,82.5,84,84,1,20,1650,0,0,0
0.59,1,2.1,94,88,84,84,3,10,907,0,0,0
0.47,1,1.95,85,80,85,84,4,2783,228140,1.19,0.8902,0
0.84,1,3.57,85,85,85,85,1,1,85,0,0.5917,0
0.69,1,2.31,80,80,85,85,1,10,800,0,0.295,0
0.64,1,2.87,82,70,82,85,4,1265,100523.5,-3.53,-2.6706,0
0.47,1,2.21,89.9,89.9,82,82,1,10,899,0,-1.7964,0
0.61,1,2.61,85,80,83,82,4,5954,485320,1.22,0,
0.34,1,1.28,95,89.8,90.4,83,11,582,52623.5,8.92,7.1725,1
0.96,1,2.85,73.2,73.2,90.4,90.4,2,6,439.2,0,4.5691,0
1,1,3.88,71.2,71.2,90.4,90.4,1,1,71.2,0,2.0892,0
0.62,1,1.74,87,85,90.4,90.4,4,4,346,0,0,0
0.66,1,2.7,90.4,77.5,90,90.4,12,5605,484406.7,-0.44,-0.3322,0
0.45,1,1.62,79.2,79.2,90,90,1,3,237.6,0,-0.2217,0
1,1,5.61,100,90,90,90,13,3003,270289,0,-0.111,0
0.58,1,2.97,80.1,80,80,90,2,500,40000.4,-11.11,-8.5714,1
0.76,1,4.14,83.6,80,80,80,30,9504,768365.4,0,-5.8824,1
0.68,1,3.41,71.3,71.3,80,80,1,3,213.9,0,-3.0303,0
0.58,1,2.97,83.5,72.1,83.5,80,4,300,23901,4.37,3.2457,0
0.89,1,3.6,79.9,79.9,83.5,83.5,1,4,319.6,0,2.1407,0
0.58,1,2.53,72.4,72.4,83.5,83.5,1,1,72.4,0,1.059,0
0.67,1,4.14,79.9,79.9,83.5,83.5,1,1,79.9,0,0,0
0.52,1,3.34,80,80,80,83.5,7,2150,172000,-4.19,-3.177,0
0.66,1,2.48,73.3,73.1,80,80,2,11,804.3,0,-2.1407,0
0.76,1,3.58,78,78,80,80,4,4,312,0,-1.0819,0
0.6,1,3.31,79.9,78,80,80,4,5,391.9,0,0,0
0.74,1,3.26,62.1,62.1,80,80,1,1,62.1,0,0,0
